Group1: strain_1|MBOGGBJL_00270 strain_1|MBOGGBJL_00480 strain_1|MBOGGBJL_03108 strain_1|MBOGGBJL_03641 strain_1|MBOGGBJL_01180 strain_1|MBOGGBJL_00408 strain_1|MBOGGBJL_03801 strain_1|MBOGGBJL_03173 strain_1|MBOGGBJL_03052 strain_1|MBOGGBJL_00467 strain_1|MBOGGBJL_02937 strain_1|MBOGGBJL_01854 strain_1|MBOGGBJL_00657 strain_1|MBOGGBJL_01998 strain_1|MBOGGBJL_03527 strain_1|MBOGGBJL_03715 strain_1|MBOGGBJL_01980 strain_1|MBOGGBJL_03528 strain_1|MBOGGBJL_01997 strain_1|MBOGGBJL_02828
Group2: strain_1|MBOGGBJL_00606 strain_1|MBOGGBJL_02577 strain_2|NIKFMFAN_03928 strain_2|NIKFMFAN_04079
Group3: strain_1|MBOGGBJL_03996 strain_1|MBOGGBJL_04008 strain_1|MBOGGBJL_04007 strain_2|NIKFMFAN_04061
Group4: strain_2|NIKFMFAN_02317 strain_2|NIKFMFAN_02336 strain_1|MBOGGBJL_03521
Group5: strain_2|NIKFMFAN_03620 strain_2|NIKFMFAN_04136 strain_1|MBOGGBJL_01329
Group6: strain_2|NIKFMFAN_03936 strain_2|NIKFMFAN_04016 strain_1|MBOGGBJL_00598
Group7: strain_1|MBOGGBJL_00576 strain_1|MBOGGBJL_02556 strain_2|NIKFMFAN_02850
Group8: strain_1|MBOGGBJL_00578 strain_1|MBOGGBJL_02558 strain_2|NIKFMFAN_02851
Group9: strain_1|MBOGGBJL_00579 strain_1|MBOGGBJL_02559 strain_2|NIKFMFAN_02852
Group10: strain_1|MBOGGBJL_00586 strain_1|MBOGGBJL_02562 strain_2|NIKFMFAN_02855
Group11: strain_1|MBOGGBJL_00588 strain_1|MBOGGBJL_02565 strain_2|NIKFMFAN_02857
Group12: strain_1|MBOGGBJL_01413 strain_1|MBOGGBJL_01414 strain_2|NIKFMFAN_01580
Group13: strain_1|MBOGGBJL_01893 strain_1|MBOGGBJL_01894 strain_2|NIKFMFAN_03248
Group14: strain_1|MBOGGBJL_02830 strain_1|MBOGGBJL_02833 strain_2|NIKFMFAN_04118
Group15: strain_1|MBOGGBJL_04010 strain_1|MBOGGBJL_04011 strain_2|NIKFMFAN_04058
Group16: strain_1|MBOGGBJL_00611 strain_1|MBOGGBJL_02582 strain_2|NIKFMFAN_04033
Group17: strain_1|MBOGGBJL_00407 strain_2|NIKFMFAN_01223 strain_1|MBOGGBJL_00409
Group18: strain_1|MBOGGBJL_02849 strain_2|NIKFMFAN_02989 strain_2|NIKFMFAN_02988
Group19: strain_2|NIKFMFAN_03939 strain_2|NIKFMFAN_04018
Group55: strain_1|MBOGGBJL_00033 strain_2|NIKFMFAN_03358
Group56: strain_1|MBOGGBJL_00034 strain_2|NIKFMFAN_03357
Group57: strain_1|MBOGGBJL_00035 strain_2|NIKFMFAN_03356
Group58: strain_1|MBOGGBJL_00036 strain_2|NIKFMFAN_03355
Group59: strain_1|MBOGGBJL_00038 strain_2|NIKFMFAN_03353
Group60: strain_1|MBOGGBJL_00039 strain_2|NIKFMFAN_03352
Group61: strain_1|MBOGGBJL_00040 strain_2|NIKFMFAN_03351
Group62: strain_1|MBOGGBJL_00041 strain_2|NIKFMFAN_03350
Group63: strain_1|MBOGGBJL_00042 strain_2|NIKFMFAN_03349
Group64: strain_1|MBOGGBJL_00043 strain_2|NIKFMFAN_03348
Group65: strain_1|MBOGGBJL_00044 strain_2|NIKFMFAN_03347
Group66: strain_1|MBOGGBJL_00045 strain_2|NIKFMFAN_03346
Group67: strain_1|MBOGGBJL_00046 strain_2|NIKFMFAN_03345
Group68: strain_1|MBOGGBJL_00047 strain_2|NIKFMFAN_03344
Group69: strain_1|MBOGGBJL_00048 strain_2|NIKFMFAN_03343
Group70: strain_1|MBOGGBJL_00049 strain_2|NIKFMFAN_03342
Group71: strain_1|MBOGGBJL_00050 strain_2|NIKFMFAN_03341
Group72: strain_1|MBOGGBJL_00051 strain_2|NIKFMFAN_03340
Group73: strain_1|MBOGGBJL_00052 strain_2|NIKFMFAN_03339
Group74: strain_1|MBOGGBJL_00053 strain_2|NIKFMFAN_03338
Group75: strain_1|MBOGGBJL_00054 strain_2|NIKFMFAN_03337
Group76: strain_1|MBOGGBJL_00055 strain_2|NIKFMFAN_03336
Group77: strain_1|MBOGGBJL_00056 strain_2|NIKFMFAN_03335
Group78: strain_1|MBOGGBJL_00057 strain_2|NIKFMFAN_03334
Group79: strain_1|MBOGGBJL_00058 strain_2|NIKFMFAN_03333
Group80: strain_1|MBOGGBJL_00059 strain_2|NIKFMFAN_03332
Group81: strain_1|MBOGGBJL_00060 strain_2|NIKFMFAN_03331
Group82: strain_1|MBOGGBJL_00061 strain_2|NIKFMFAN_03330
Group83: strain_1|MBOGGBJL_00062 strain_2|NIKFMFAN_03329
Group84: strain_1|MBOGGBJL_00063 strain_2|NIKFMFAN_03328
Group85: strain_1|MBOGGBJL_00064 strain_2|NIKFMFAN_03327
Group86: strain_1|MBOGGBJL_00065 strain_2|NIKFMFAN_03326
Group87: strain_1|MBOGGBJL_00066 strain_2|NIKFMFAN_03325
Group88: strain_1|MBOGGBJL_00067 strain_2|NIKFMFAN_03324
Group89: strain_1|MBOGGBJL_00068 strain_2|NIKFMFAN_03323
Group90: strain_1|MBOGGBJL_00069 strain_2|NIKFMFAN_03322
Group91: strain_1|MBOGGBJL_00070 strain_2|NIKFMFAN_03321
Group92: strain_1|MBOGGBJL_00071 strain_2|NIKFMFAN_03320
Group93: strain_1|MBOGGBJL_00072 strain_2|NIKFMFAN_02859
Group94: strain_1|MBOGGBJL_00073 strain_2|NIKFMFAN_02860
Group95: strain_1|MBOGGBJL_00074 strain_2|NIKFMFAN_02861
Group96: strain_1|MBOGGBJL_00075 strain_2|NIKFMFAN_02862
Group97: strain_1|MBOGGBJL_00076 strain_2|NIKFMFAN_02863
Group98: strain_1|MBOGGBJL_00078 strain_2|NIKFMFAN_02865
Group99: strain_1|MBOGGBJL_00079 strain_2|NIKFMFAN_02866
Group100: strain_1|MBOGGBJL_00080 strain_2|NIKFMFAN_02867
Group101: strain_1|MBOGGBJL_00081 strain_2|NIKFMFAN_02868
Group102: strain_1|MBOGGBJL_00082 strain_2|NIKFMFAN_02869
Group103: strain_1|MBOGGBJL_00083 strain_2|NIKFMFAN_02870
Group104: strain_1|MBOGGBJL_00084 strain_2|NIKFMFAN_02871
Group105: strain_1|MBOGGBJL_00085 strain_2|NIKFMFAN_02872
Group106: strain_1|MBOGGBJL_00086 strain_2|NIKFMFAN_02873
Group107: strain_1|MBOGGBJL_00087 strain_2|NIKFMFAN_02874
Group108: strain_1|MBOGGBJL_00088 strain_2|NIKFMFAN_02875
Group109: strain_1|MBOGGBJL_00089 strain_2|NIKFMFAN_02876
Group110: strain_1|MBOGGBJL_00090 strain_2|NIKFMFAN_02877
Group111: strain_1|MBOGGBJL_00091 strain_2|NIKFMFAN_02878
Group112: strain_1|MBOGGBJL_00092 strain_2|NIKFMFAN_02879
Group113: strain_1|MBOGGBJL_00093 strain_2|NIKFMFAN_02880
Group114: strain_1|MBOGGBJL_00094 strain_2|NIKFMFAN_02881
Group115: strain_1|MBOGGBJL_00095 strain_2|NIKFMFAN_02882
Group116: strain_1|MBOGGBJL_00096 strain_2|NIKFMFAN_02883
Group117: strain_1|MBOGGBJL_00097 strain_2|NIKFMFAN_02884
Group118: strain_1|MBOGGBJL_00098 strain_2|NIKFMFAN_02885
Group119: strain_1|MBOGGBJL_00099 strain_2|NIKFMFAN_02886
Group120: strain_1|MBOGGBJL_00100 strain_2|NIKFMFAN_02887
Group121: strain_1|MBOGGBJL_00101 strain_2|NIKFMFAN_02888
Group122: strain_1|MBOGGBJL_00102 strain_2|NIKFMFAN_02889
Group123: strain_1|MBOGGBJL_00103 strain_2|NIKFMFAN_02890
Group124: strain_1|MBOGGBJL_00104 strain_2|NIKFMFAN_02891
Group125: strain_1|MBOGGBJL_00105 strain_2|NIKFMFAN_02892
Group126: strain_1|MBOGGBJL_00107 strain_2|NIKFMFAN_02894
Group127: strain_1|MBOGGBJL_00108 strain_2|NIKFMFAN_02895
Group128: strain_1|MBOGGBJL_00109 strain_2|NIKFMFAN_02896
Group129: strain_1|MBOGGBJL_00110 strain_2|NIKFMFAN_02897
Group130: strain_1|MBOGGBJL_00111 strain_2|NIKFMFAN_02898
Group131: strain_1|MBOGGBJL_00112 strain_2|NIKFMFAN_02899
Group132: strain_1|MBOGGBJL_00113 strain_2|NIKFMFAN_02900
Group133: strain_1|MBOGGBJL_00114 strain_2|NIKFMFAN_02901
Group134: strain_1|MBOGGBJL_00115 strain_2|NIKFMFAN_02902
Group135: strain_1|MBOGGBJL_00117 strain_2|NIKFMFAN_02904
Group136: strain_1|MBOGGBJL_00118 strain_2|NIKFMFAN_02905
Group137: strain_1|MBOGGBJL_00119 strain_2|NIKFMFAN_02906
Group138: strain_1|MBOGGBJL_00120 strain_2|NIKFMFAN_02907
Group139: strain_1|MBOGGBJL_00121 strain_2|NIKFMFAN_02908
Group140: strain_1|MBOGGBJL_00122 strain_2|NIKFMFAN_02909
Group141: strain_1|MBOGGBJL_00123 strain_2|NIKFMFAN_02910
Group142: strain_1|MBOGGBJL_00124 strain_2|NIKFMFAN_02911
Group143: strain_1|MBOGGBJL_00125 strain_2|NIKFMFAN_02912
Group144: strain_1|MBOGGBJL_00126 strain_2|NIKFMFAN_02913
Group145: strain_1|MBOGGBJL_00127 strain_2|NIKFMFAN_02914
Group146: strain_1|MBOGGBJL_00128 strain_2|NIKFMFAN_02915
Group147: strain_1|MBOGGBJL_00129 strain_2|NIKFMFAN_02916
Group148: strain_1|MBOGGBJL_00130 strain_2|NIKFMFAN_02917
Group149: strain_1|MBOGGBJL_00131 strain_2|NIKFMFAN_02918
Group150: strain_1|MBOGGBJL_00132 strain_2|NIKFMFAN_02919
Group151: strain_1|MBOGGBJL_00133 strain_2|NIKFMFAN_02920
Group152: strain_1|MBOGGBJL_00134 strain_2|NIKFMFAN_02921
Group153: strain_1|MBOGGBJL_00135 strain_2|NIKFMFAN_02922
Group154: strain_1|MBOGGBJL_00136 strain_2|NIKFMFAN_02923
Group155: strain_1|MBOGGBJL_00137 strain_2|NIKFMFAN_02924
Group156: strain_1|MBOGGBJL_00138 strain_2|NIKFMFAN_02925
Group157: strain_1|MBOGGBJL_00139 strain_2|NIKFMFAN_02926
Group158: strain_1|MBOGGBJL_00140 strain_2|NIKFMFAN_02927
Group159: strain_1|MBOGGBJL_00141 strain_2|NIKFMFAN_02928
Group160: strain_1|MBOGGBJL_00142 strain_2|NIKFMFAN_02929
Group161: strain_1|MBOGGBJL_00143 strain_2|NIKFMFAN_02930
Group162: strain_1|MBOGGBJL_00144 strain_2|NIKFMFAN_02931
Group163: strain_1|MBOGGBJL_00145 strain_2|NIKFMFAN_02932
Group164: strain_1|MBOGGBJL_00146 strain_2|NIKFMFAN_02933
Group165: strain_1|MBOGGBJL_00147 strain_2|NIKFMFAN_02934
Group166: strain_1|MBOGGBJL_00148 strain_2|NIKFMFAN_02935
Group167: strain_1|MBOGGBJL_00149 strain_2|NIKFMFAN_02936
Group168: strain_1|MBOGGBJL_00150 strain_2|NIKFMFAN_02937
Group169: strain_1|MBOGGBJL_00151 strain_2|NIKFMFAN_02938
Group170: strain_1|MBOGGBJL_00152 strain_2|NIKFMFAN_02939
Group171: strain_1|MBOGGBJL_00153 strain_2|NIKFMFAN_02940
Group172: strain_1|MBOGGBJL_00154 strain_2|NIKFMFAN_02941
Group173: strain_1|MBOGGBJL_00155 strain_2|NIKFMFAN_02942
Group174: strain_1|MBOGGBJL_00156 strain_2|NIKFMFAN_02943
Group175: strain_1|MBOGGBJL_00157 strain_2|NIKFMFAN_02944
Group176: strain_1|MBOGGBJL_00158 strain_2|NIKFMFAN_02945
Group177: strain_1|MBOGGBJL_00159 strain_2|NIKFMFAN_02946
Group178: strain_1|MBOGGBJL_00160 strain_2|NIKFMFAN_02947
Group179: strain_1|MBOGGBJL_00161 strain_2|NIKFMFAN_02948
Group180: strain_1|MBOGGBJL_00162 strain_2|NIKFMFAN_02949
Group181: strain_1|MBOGGBJL_00163 strain_2|NIKFMFAN_02950
Group182: strain_1|MBOGGBJL_00164 strain_2|NIKFMFAN_02951
Group183: strain_1|MBOGGBJL_00165 strain_2|NIKFMFAN_02952
Group184: strain_1|MBOGGBJL_00166 strain_2|NIKFMFAN_02953
Group185: strain_1|MBOGGBJL_00167 strain_2|NIKFMFAN_02954
Group186: strain_1|MBOGGBJL_00168 strain_2|NIKFMFAN_02955
Group187: strain_1|MBOGGBJL_00169 strain_2|NIKFMFAN_02956
Group188: strain_1|MBOGGBJL_00170 strain_2|NIKFMFAN_02957
Group189: strain_1|MBOGGBJL_00171 strain_2|NIKFMFAN_02958
Group190: strain_1|MBOGGBJL_00172 strain_2|NIKFMFAN_02959
Group191: strain_1|MBOGGBJL_00173 strain_2|NIKFMFAN_02960
Group192: strain_1|MBOGGBJL_00174 strain_2|NIKFMFAN_02961
Group193: strain_1|MBOGGBJL_00175 strain_2|NIKFMFAN_02962
Group194: strain_1|MBOGGBJL_00176 strain_2|NIKFMFAN_02963
Group195: strain_1|MBOGGBJL_00177 strain_2|NIKFMFAN_02964
Group196: strain_1|MBOGGBJL_00178 strain_2|NIKFMFAN_02965
Group197: strain_1|MBOGGBJL_00179 strain_2|NIKFMFAN_02966
Group198: strain_1|MBOGGBJL_00180 strain_2|NIKFMFAN_02967
Group199: strain_1|MBOGGBJL_00181 strain_2|NIKFMFAN_02968
Group200: strain_1|MBOGGBJL_00182 strain_2|NIKFMFAN_02969
Group201: strain_1|MBOGGBJL_00183 strain_2|NIKFMFAN_02970
Group202: strain_1|MBOGGBJL_00184 strain_2|NIKFMFAN_02971
Group203: strain_1|MBOGGBJL_00185 strain_2|NIKFMFAN_02972
Group204: strain_1|MBOGGBJL_00187 strain_2|NIKFMFAN_01003
Group205: strain_1|MBOGGBJL_00188 strain_2|NIKFMFAN_01004
Group206: strain_1|MBOGGBJL_00189 strain_2|NIKFMFAN_01006
Group207: strain_1|MBOGGBJL_00191 strain_2|NIKFMFAN_01008
Group208: strain_1|MBOGGBJL_00192 strain_2|NIKFMFAN_01009
Group209: strain_1|MBOGGBJL_00193 strain_2|NIKFMFAN_01010
Group210: strain_1|MBOGGBJL_00194 strain_2|NIKFMFAN_01011
Group211: strain_1|MBOGGBJL_00195 strain_2|NIKFMFAN_01012
Group212: strain_1|MBOGGBJL_00196 strain_2|NIKFMFAN_01013
Group213: strain_1|MBOGGBJL_00197 strain_2|NIKFMFAN_01014
Group214: strain_1|MBOGGBJL_00198 strain_2|NIKFMFAN_01015
Group215: strain_1|MBOGGBJL_00199 strain_2|NIKFMFAN_01016
Group216: strain_1|MBOGGBJL_00200 strain_2|NIKFMFAN_01017
Group217: strain_1|MBOGGBJL_00201 strain_2|NIKFMFAN_01018
Group218: strain_1|MBOGGBJL_00202 strain_2|NIKFMFAN_01019
Group219: strain_1|MBOGGBJL_00203 strain_2|NIKFMFAN_01020
Group220: strain_1|MBOGGBJL_00204 strain_2|NIKFMFAN_01021
Group221: strain_1|MBOGGBJL_00205 strain_2|NIKFMFAN_01022
Group222: strain_1|MBOGGBJL_00206 strain_2|NIKFMFAN_01023
Group223: strain_1|MBOGGBJL_00207 strain_2|NIKFMFAN_01024
Group224: strain_1|MBOGGBJL_00208 strain_2|NIKFMFAN_01025
Group225: strain_1|MBOGGBJL_00209 strain_2|NIKFMFAN_01026
Group226: strain_1|MBOGGBJL_00210 strain_2|NIKFMFAN_01027
Group227: strain_1|MBOGGBJL_00211 strain_2|NIKFMFAN_01028
Group228: strain_1|MBOGGBJL_00212 strain_2|NIKFMFAN_01029
Group229: strain_1|MBOGGBJL_00213 strain_2|NIKFMFAN_01030
Group230: strain_1|MBOGGBJL_00214 strain_2|NIKFMFAN_01031
Group231: strain_1|MBOGGBJL_00215 strain_2|NIKFMFAN_01032
Group232: strain_1|MBOGGBJL_00216 strain_2|NIKFMFAN_01033
Group233: strain_1|MBOGGBJL_00217 strain_2|NIKFMFAN_01034
Group234: strain_1|MBOGGBJL_00218 strain_2|NIKFMFAN_01035
Group235: strain_1|MBOGGBJL_00219 strain_2|NIKFMFAN_01036
Group236: strain_1|MBOGGBJL_00220 strain_2|NIKFMFAN_01037
Group237: strain_1|MBOGGBJL_00221 strain_2|NIKFMFAN_01038
Group238: strain_1|MBOGGBJL_00222 strain_2|NIKFMFAN_01039
Group239: strain_1|MBOGGBJL_00223 strain_2|NIKFMFAN_01040
Group240: strain_1|MBOGGBJL_00224 strain_2|NIKFMFAN_01041
Group241: strain_1|MBOGGBJL_00225 strain_2|NIKFMFAN_01042
Group242: strain_1|MBOGGBJL_00226 strain_2|NIKFMFAN_01043
Group243: strain_1|MBOGGBJL_00227 strain_2|NIKFMFAN_01044
Group244: strain_1|MBOGGBJL_00228 strain_2|NIKFMFAN_01045
Group245: strain_1|MBOGGBJL_00229 strain_2|NIKFMFAN_01046
Group246: strain_1|MBOGGBJL_00230 strain_2|NIKFMFAN_01047
Group247: strain_1|MBOGGBJL_00231 strain_2|NIKFMFAN_01048
Group248: strain_1|MBOGGBJL_00232 strain_2|NIKFMFAN_01049
Group249: strain_1|MBOGGBJL_00233 strain_2|NIKFMFAN_01050
Group250: strain_1|MBOGGBJL_00234 strain_2|NIKFMFAN_01051
Group251: strain_1|MBOGGBJL_00235 strain_2|NIKFMFAN_01052
Group252: strain_1|MBOGGBJL_00236 strain_2|NIKFMFAN_01053
Group253: strain_1|MBOGGBJL_00238 strain_2|NIKFMFAN_01055
Group254: strain_1|MBOGGBJL_00239 strain_2|NIKFMFAN_01056
Group255: strain_1|MBOGGBJL_00240 strain_2|NIKFMFAN_01057
Group256: strain_1|MBOGGBJL_00241 strain_2|NIKFMFAN_01058
Group257: strain_1|MBOGGBJL_00242 strain_2|NIKFMFAN_01059
Group258: strain_1|MBOGGBJL_00243 strain_2|NIKFMFAN_01060
Group259: strain_1|MBOGGBJL_00244 strain_2|NIKFMFAN_01061
Group260: strain_1|MBOGGBJL_00245 strain_2|NIKFMFAN_01062
Group261: strain_1|MBOGGBJL_00246 strain_2|NIKFMFAN_01063
Group262: strain_1|MBOGGBJL_00247 strain_2|NIKFMFAN_01064
Group263: strain_1|MBOGGBJL_00248 strain_2|NIKFMFAN_01065
Group264: strain_1|MBOGGBJL_00249 strain_2|NIKFMFAN_01066
Group265: strain_1|MBOGGBJL_00250 strain_2|NIKFMFAN_01067
Group266: strain_1|MBOGGBJL_00251 strain_2|NIKFMFAN_01068
Group267: strain_1|MBOGGBJL_00252 strain_2|NIKFMFAN_01069
Group268: strain_1|MBOGGBJL_00253 strain_2|NIKFMFAN_01070
Group269: strain_1|MBOGGBJL_00254 strain_2|NIKFMFAN_01071
Group270: strain_1|MBOGGBJL_00255 strain_2|NIKFMFAN_01072
Group271: strain_1|MBOGGBJL_00256 strain_2|NIKFMFAN_01073
Group272: strain_1|MBOGGBJL_00257 strain_2|NIKFMFAN_01074
Group273: strain_1|MBOGGBJL_00258 strain_2|NIKFMFAN_01075
Group274: strain_1|MBOGGBJL_00259 strain_2|NIKFMFAN_01076
Group275: strain_1|MBOGGBJL_00260 strain_2|NIKFMFAN_01077
Group276: strain_1|MBOGGBJL_00261 strain_2|NIKFMFAN_01078
Group277: strain_1|MBOGGBJL_00262 strain_2|NIKFMFAN_01079
Group278: strain_1|MBOGGBJL_00263 strain_2|NIKFMFAN_01080
Group279: strain_1|MBOGGBJL_00264 strain_2|NIKFMFAN_01081
Group280: strain_1|MBOGGBJL_00265 strain_2|NIKFMFAN_01082
Group281: strain_1|MBOGGBJL_00266 strain_2|NIKFMFAN_01083
Group282: strain_1|MBOGGBJL_00267 strain_2|NIKFMFAN_01084
Group283: strain_1|MBOGGBJL_00268 strain_2|NIKFMFAN_01085
Group284: strain_1|MBOGGBJL_00269 strain_2|NIKFMFAN_01086
Group285: strain_1|MBOGGBJL_00272 strain_2|NIKFMFAN_01087
Group286: strain_1|MBOGGBJL_00273 strain_2|NIKFMFAN_01088
Group287: strain_1|MBOGGBJL_00274 strain_2|NIKFMFAN_01089
Group288: strain_1|MBOGGBJL_00275 strain_2|NIKFMFAN_01090
Group289: strain_1|MBOGGBJL_00276 strain_2|NIKFMFAN_01091
Group290: strain_1|MBOGGBJL_00277 strain_2|NIKFMFAN_01092
Group291: strain_1|MBOGGBJL_00278 strain_2|NIKFMFAN_01093
Group292: strain_1|MBOGGBJL_00279 strain_2|NIKFMFAN_01094
Group293: strain_1|MBOGGBJL_00280 strain_2|NIKFMFAN_01095
Group294: strain_1|MBOGGBJL_00281 strain_2|NIKFMFAN_01096
Group295: strain_1|MBOGGBJL_00282 strain_2|NIKFMFAN_01097
Group296: strain_1|MBOGGBJL_00283 strain_2|NIKFMFAN_01098
Group297: strain_1|MBOGGBJL_00284 strain_2|NIKFMFAN_01099
Group298: strain_1|MBOGGBJL_00285 strain_2|NIKFMFAN_01100
Group299: strain_1|MBOGGBJL_00286 strain_2|NIKFMFAN_01101
Group300: strain_1|MBOGGBJL_00287 strain_2|NIKFMFAN_01102
Group301: strain_1|MBOGGBJL_00288 strain_2|NIKFMFAN_01103
Group302: strain_1|MBOGGBJL_00289 strain_2|NIKFMFAN_01104
Group303: strain_1|MBOGGBJL_00290 strain_2|NIKFMFAN_01105
Group304: strain_1|MBOGGBJL_00291 strain_2|NIKFMFAN_01106
Group305: strain_1|MBOGGBJL_00292 strain_2|NIKFMFAN_01107
Group306: strain_1|MBOGGBJL_00293 strain_2|NIKFMFAN_01108
Group307: strain_1|MBOGGBJL_00294 strain_2|NIKFMFAN_01109
Group308: strain_1|MBOGGBJL_00295 strain_2|NIKFMFAN_01110
Group309: strain_1|MBOGGBJL_00296 strain_2|NIKFMFAN_01111
Group310: strain_1|MBOGGBJL_00297 strain_2|NIKFMFAN_01112
Group311: strain_1|MBOGGBJL_00298 strain_2|NIKFMFAN_01113
Group312: strain_1|MBOGGBJL_00299 strain_2|NIKFMFAN_01114
Group313: strain_1|MBOGGBJL_00300 strain_2|NIKFMFAN_01115
Group314: strain_1|MBOGGBJL_00301 strain_2|NIKFMFAN_01116
Group315: strain_1|MBOGGBJL_00302 strain_2|NIKFMFAN_01117
Group316: strain_1|MBOGGBJL_00303 strain_2|NIKFMFAN_01118
